Mundus: @daworldgonnaend
Reckezeile: @weberrich
Aeloria: @posviper
Zukovia: @knollenjoko
Mahemio: @mayhem2a
Aromeera: @zeera1
Hipu: @glitchingblaze
Tunfudre: @thunderlp14_1020
Tirairgrid: @mosstone
Rahmurderica: -
Rimaria: @axoknightl
Transelize: @la.corgi
Cirn-Hoit: @hoit23
Baracsica: -
Gurasimpia: @mayhem2a
Fumoya: -
Savinair: @mosstone
Watre: @knollenjoko
Oldholia: @knollenjoko
Hankurei: -
Fukai: -
Savo: @mayhem2a
Alchema: @thunderlp14_1020
Rairven: @mosstone
Nosubichi: -
Estairgrid: -
Streemland: @mayhem2a
Whideveria: @knollenjoko
Nonamus: -
Minamibichi: -
Aecrest: @posviper
Bosloria: @posviper
EstAirgrid: @mosstone
